"TL","Territory Level and Typology","REG_ID","Region","VAR","Indicator","SEX","Gender","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","CAN","Canada","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2016","2016","IDX","Index","0","Units","2001_100","2001=100",116.5,,
"1","Country","NZL","New Zealand","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2016","2016","RATIO","Ratio","0","Units",,,17.71,,
"1","Country","USA","US","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2015","2015","RATIO","Ratio","0","Units",,,35,,
"1","Country","USA","US","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2016","2016","IDX","Index","0","Units","2001_100","2001=100",113.3,,
"1","Country","ISR","Israel","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2017","2017","IDX","Index","0","Units","2001_100","2001=100",134.1,,
"1","Country","JPN","Japan","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2017","2017","IDX","Index","0","Units","2001_100","2001=100",99.5,,
"1","Country","BRA","Brazil","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2015","2015","RATIO","Ratio","0","Units",,,23.91,,
"1","Country","BRA","Brazil","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2016","2016","IDX","Index","0","Units","2001_100","2001=100",116.4,,
"1","Country","BGR","Bulgaria","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,64.09,,
"1","Country","LVA","Latvia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,30.56,,
"1","Country","CHL","Chile","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2015","2015","RATIO","Ratio","0","Units",,,24.28,,
"1","Country","CHL","Chile","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2016","2016","RATIO","Ratio","0","Units",,,24.54,,
"1","Country","EST","Estonia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,30.35,,
"1","Country","BRA","Brazil","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2017","2017","IDX","Index","0","Units","2001_100","2001=100",117.4,,
"1","Country","TUN","Tunisia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2007","2007","RATIO","Ratio","0","Units",,,66.1,,
"1","Country","FRA","France","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,105.57,"P","Provisional value"
"1","Country","KOR","South Korea","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2016","2016","RATIO","Ratio","0","Units",,,515.23,,
"1","Country","CAN","Canada","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2015","2015","IDX","Index","0","Units","2001_100","2001=100",115,,
"1","Country","RUS","Russian Federation","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2015","2015","IDX","Index","0","Units","2001_100","2001=100",98.6,,
"1","Country","ISL","Iceland","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2017","2017","RATIO","Ratio","0","Units",,,3.37,,
"1","Country","JPN","Japan","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2015","2015","IDX","Index","0","Units","2001_100","2001=100",99.9,,
"1","Country","CHL","Chile","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2016","2016","IDX","Index","0","Units","2001_100","2001=100",117,,
"1","Country","FIN","Finland","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,18.12,,
"1","Country","MEX","Mexico","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2016","2016","IDX","Index","0","Units","2001_100","2001=100",119.7,,
"1","Country","TUR","Turkey","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2017","2017","IDX","Index","0","Units","2001_100","2001=100",123.3,"E","Estimated value"
"1","Country","TUN","Tunisia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2014","2014","RATIO","Ratio","0","Units",,,71.18,,
"1","Country","TUN","Tunisia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2015","2015","RATIO","Ratio","0","Units",,,72.15,,
"1","Country","GRC","Greece","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,82.59,,
